bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species
46.2,14.5,209.0,4800.0,Gentoo
37.3,20.5,199.0,3775.0,Adelie
39.6,20.7,191.0,3900.0,Adelie
44.1,19.7,196.0,4400.0,Adelie
41.5,18.3,195.0,4300.0,Adelie
43.8,13.9,208.0,4300.0,Gentoo
54.2,20.8,201.0,4300.0,Chinstrap
46.4,17.8,191.0,3700.0,Chinstrap
50.4,15.7,222.0,5750.0,Gentoo
40.6,18.6,183.0,3550.0,ADELIE
40.6,19.0,199.0,4000.0,Adelie
47.6,14.5,215.0,5400.0,Gentoo
,14.2,209.0,4600.0,Gentoo
45.2,15.8,215.0,5300.0,Gentoo
38.1,16.5,198.0,3825.0,Adelie
50.0,19.5,196.0,3900.0,  Chinstrap
41.1,18.6,189.0,3325.0,Adelie
36.0,17.8,195.0,3450.0,Adelie
46.1,18.2,178.0,3250.0,Chinstrap
37.8,17.1,186.0,3300.0,Adelie
45.7,17.3,193.0,3600.0,Chinstrap
39.0,17.5,186.0,3550.0,Adelie
44.9,13.8,212.0,4750.0,Gentoo
36.2,17.2,187.0,3150.0,Adelie
39.2,18.6,190.0,4250.0,Adelie
41.1,18.1,205.0,4300.0,Adelie
43.2,19.0,197.0,4775.0,Adelie
48.5,17.5,191.0,3400.0,Chinstrap
40.2,17.1,193.0,3400.0,Adelie
46.9,14.6,222.0,4875.0,Gentoo
50.5,18.4,200.0,3400.0,Chinstrap
36.5,18.0,182.0,3150.0,Adelie
39.7,18.9,184.0,3550.0,Adelie
42.6,13.7,213.0,4950.0,Gentoo
42.1,19.1,195.0,4000.0,Adelie
38.9,17.8,181.0,3625.0,Adelie
50.2,18.8,202.0,3800.0,Chinstrap
43.5,15.2,213.0,4650.0,Gentoo
45.6,20.3,191.0,4600.0,Adelie
37.2,19.4,184.0,3900.0,Adelie
41.3,20.3,194.0,3550.0,Adelie
36.7,19.3,193.0,3450.0,Adelie
48.4,16.3,220.0,5400.0,Gentoo
48.7,15.7,208.0,5350.0,Gentoo
37.5,18.9,179.0,2975.0,Adelie
45.5,17.0,196.0,3500.0,Chinstrap
50.7,15.0,223.0,5550.0,Gentoo
50.5,15.9,225.0,5400.0,Gentoo
35.5,17.5,190.0,3700.0,Adelie
36.4,-17,195.0,3325.0,Adelie
45.1,14.4,210.0,4400.0,Gentoo
42.5,16.7,187.0,3350.0,Chinstrap
45.8,14.6,210.0,4200.0,Gentoo
35.1,19.4,193.0,4200.0,Adelie
36.4,17.1,184.0,2850.0,Adelie
51.5,18.7,187.0,3250.0,Chinstrap
51.5,18.7,187.0,3250.0,Chinstrap
36.5,16.6,181.0,2850.0,Adelie
55.1,16.0,230.0,5850.0,Gentoo
49.5,16.2,229.0,5800.0,Gentoo
41.1,19.0,182.0,3425.0,Aaadelie
40.9,13.7,214.0,4650.0,Gentoo
53.4,15.8,219.0,5500.0,Gentoo
48.5,15.0,219.0,4850.0,Gentoo
49.3,15.7,217.0,5850.0,Gentoo
43.2,16.6,187.0,2900.0,Chinstrap
45.8,18.9,197.0,4150.0,Adelie
40.9,16.8,191.0,3700.0,Adelie
42.5,20.7,197.0,4500.0,Adelie
41.1,19.1,188.0,4100.0,Adelie
42.7,18.3,196.0,4075.0,Adelie
34.1,18.1,193.0,3475.0,Adelie
37.0,16.5,185.0,3400.0,Adelie
51.5,16.3,230.0,5500.0,Gentoo
50.8,17.3,228.0,5600.0,Gentoo
52.5,15.6,221.0,5450.0,Gentoo
36.2,16.1,187.0,3550.0,Adelie
49.1,15.0,228.0,5500.0,Gentoo
45.6,19.4,194.0,3525.0,Chinstrap
41.7,14.7,210.0,4700.0,Gentoo
41.3,21.1,195.0,4400.0,Adelie
37.7,16.0,183.0,3075.0,Adelie
48.7,15.1,222.0,5350.0,Gentoo
40.8,18.9,208.0,4300.0,Adelie
54.3,15.7,231.0,5650.0,Gentoo
37.8,18.1,193.0,3750.0,Adelie
34.4,18.4,184.0,3325.0,Adelie
35.3,18.9,187.0,3800.0,Adelie
47.3,13.8,216.0,4725.0,Gentoo
37.3,16.8,192.0,3000.0,Adelie
49.3,19.9,203.0,4050.0,Chinstrap
49.1,14.8,220.0,5150.0,Gentoo
47.2,13.7,214.0,4925.0,Gentoo
45.1,14.5,215.0,5000.0,Gentoo
42.8,14.2,209.0,4700.0,Gentoo
51.3,19.2,193.0,3650.0,Chinstrap
51.9,19.5,206.0,3950.0,Chinstrap
37.8,18.3,174.0,3400.0,Adelie
50.8,18.5,201.0,4450.0,Chinstrap
34.6,17.2,189.0,3200.0,Adelie
50.9,19.1,196.0,3550.0,Chinstrap
46.0,21.5,194.0,4200.0,Adelie
40.6,17.2,187.0,3475.0,Adelie
45.5,13.9,210.0,4200.0,Gentoo
39.5,17.8,188.0,3300.0,Adelie
46.1,15.1,215.0,5100.0,Gentoo
46.8,15.4,215.0,5150.0,Gentoo
46.7,17.9,195.0,3300.0,Chinstrap
47.3,15.3,222.0,5250.0,Gentoo
43.3,14.0,208.0,4575.0,Gentoo
52.7,19.8,197.0,3725.0,Chinstrap
35.7,16.9,185.0,3150.0,Adelie
39.7,17.7,193.0,3200.0,Adelie
37.5,18.5,199.0,4475.0,Adelie
38.7,19.0,195.0,3450.0,Adelie
39.2,19.6,195.0,4675.0,Adelie
47.5,14.0,212.0,4875.0,Gentoo
48.7,14.1,210.0,4450.0,Gentoo
36.2,17.3,187.0,3300.0,Adelie
37.2,18.1,178.0,3900.0,Adelie
38.2,18.1,185.0,3950.0,Adelie
